,id,track_name,size_bytes,currency,price,rating_count_tot,rating_count_ver,user_rating,user_rating_ver,ver,cont_rating,prime_genre,sup_devices.num,ipadSc_urls.num,lang.num,vpp_lic
9006,1121425007,Vampire Legends: Untold Story of Elizabeth (Full),1031653376,USD,6.99,50,5,3.0,3.5,1.0.6,9+,Games,24,5,3,1
9010,1121484538,Station Manager,213410816,USD,4.99,35,8,3.5,3.0,1.10,4+,Games,37,5,4,1
9026,1121659254,江湖风云录-超自由武侠剧情角色扮演手游,49652736,USD,0.99,13,0,4.5,0.0,4.58,12+,Games,40,5,1,1
9030,1121782467,Samorost 3,1329823744,USD,4.99,421,51,4.0,4.0,1.2,9+,Games,37,5,16,1
9041,1121963448,Flood of Light,578062336,USD,1.99,14,2,5.0,5.0,2.1.3,4+,Games,38,5,3,1
9053,1122211704,"Please, Don't Touch Anything 3D",468603904,USD,5.99,5,2,4.0,4.5,1.3,9+,Games,25,5,1,1
9054,1122212503,Grim Tales: The Heir - A Mystery Hidden Object Game (Full),984101888,USD,6.99,87,87,4.5,4.5,1.0.0,9+,Games,37,5,5,1
9086,1123300756,"Dr. Decks for ""Clash Royale""",70156288,USD,0.99,9,2,4.0,2.5,4.0,4+,Games,40,3,1,1
9110,1123510087,Lost Fishy Ultimate Challenge,102046720,USD,0.99,3,3,4.5,4.5,1.1,4+,Games,38,5,1,1
9123,1123639492,Dinos Jump - Dinosaur action game for kids,60285952,USD,2.99,0,0,0.0,0.0,1.3.10,4+,Games,38,5,1,1
9124,1123652342,Jurassic GO - Dinosaur Snap Adventures,331335680,USD,3.99,477,315,5.0,5.0,1.0.1,4+,Games,38,5,11,1
9145,1123991807,Hero Siege: Pocket Edition,282289152,USD,9.99,68,8,2.5,1.5,1.8.5,12+,Games,37,4,1,1
9152,1124143528,Mystery of the Ancients: Mud Water Creek (Full),1145312256,USD,6.99,127,65,4.5,4.5,1.0.2,9+,Games,37,5,5,1
9154,1124221308,Danse Macabre: Lethal Letters - A Mystery Hidden Object Game (Full),771726336,USD,6.99,57,57,4.5,4.5,1.0.0,9+,Games,37,5,5,1
9162,1124344855,Blitz Survival Games - Multiplayer Pixel Master Mini Games,180251648,USD,0.99,24,5,3.0,3.0,2.0,9+,Games,40,3,1,1
9169,1124453989,Bulb Boy,587630592,USD,2.99,49,6,4.5,4.0,1.14,12+,Games,37,5,1,1
9170,1124467250,烈焰王座HD - 卡牌与挂机结合的养成放置游戏,68639744,USD,0.99,1,1,5.0,5.0,1.2,12+,Games,40,5,2,1
9227,1126212440,Nanuleu,131196928,USD,2.99,65,27,4.0,3.5,2.01,9+,Games,37,5,5,1
9260,1126935885,Sorcery! 4,464706560,USD,4.99,60,10,4.5,4.0,1.1.1,12+,Games,38,5,1,1
9273,1127440445,A Busy Day for Elmo: Sesame Street Video Calls,235222016,USD,0.99,3,3,2.5,2.5,1.0,4+,Games,40,5,1,1
9274,1127454806,Superkick Party,30906368,USD,1.99,27,8,4.5,4.5,1.1,9+,Games,40,2,16,1
9302,1128233478,Super Powerboy,1115999232,USD,1.99,99,54,4.5,4.5,1.0.1,12+,Games,25,5,1,1
9310,1128326130,Pocket Arcade Story,189608960,USD,4.99,41,20,3.5,2.5,1.02,9+,Games,38,5,4,1
9334,1128940693,Atomic Super Lander,222874624,USD,2.99,47,4,4.0,4.5,1.1,9+,Games,38,5,1,1
9353,1129404572,The Curio Society: New Order HD (Full) - Adventure,1364120576,USD,6.99,58,58,4.5,4.5,1.0,9+,Games,24,5,4,1
9358,1129648611,逆战仙魔 大圣萌仙全民跨服千人即时PK,146436096,USD,0.99,0,0,0.0,0.0,1.0.2,4+,Games,40,5,1,1
9361,1129690785,Arthur's Adventures-Road of Glory:Pocket Edition,140864512,USD,0.99,18,1,5.0,3.0,1.1.2,9+,Games,38,0,2,1
9365,1129722364,スーパーストリートファイターIV パチスロエディション,2002585600,USD,14.99,0,0,0.0,0.0,1.0.0,12+,Games,40,0,1,0
9368,1129778673,Bangers Unlimited 2,242437120,USD,3.99,0,0,0.0,0.0,1.0,4+,Games,40,5,1,1
9403,1130852386,PPTAN,165874688,USD,0.99,8,4,5.0,5.0,1.0.3,4+,Games,40,5,2,1
9406,1130901077,F1 2016,2532376576,USD,4.99,343,160,4.0,4.0,1.0.6,4+,Games,25,5,1,1
9422,1131232060,Dead Shell: Roguelike RPG,92187648,USD,2.99,29,29,3.5,3.5,1.0.14,12+,Games,40,5,1,1
9424,1131251130,Montessori Nature,199166976,USD,2.99,1,1,5.0,5.0,1.5.1,4+,Games,40,5,1,1
9427,1131388981,Paperback: The Game,55676928,USD,3.99,80,34,4.0,4.0,1.0.6,4+,Games,43,3,1,1
9437,1131590898,LUMINES PUZZLE & MUSIC,114325504,USD,2.99,263,6,4.5,4.0,2.1.0,4+,Games,37,5,2,1
9440,1131701133,Never Hillary Clinton,58260480,USD,0.99,207,201,5.0,5.0,1.2,9+,Games,40,4,1,1
9474,1132515131,Samurai of Hyuga Book 2,73325568,USD,5.99,74,74,4.5,4.5,1.0.2,12+,Games,38,5,1,1
9479,1132539563,Linia,87257088,USD,1.99,271,51,4.0,4.5,1.4,4+,Games,37,5,7,1
9492,1132842255,Beach Volleyball 2016,372767744,USD,0.99,6,0,2.5,0.0,1.2.3 Build 19,4+,Games,40,5,1,1
9494,1132915398,ISLANDS: Non-Places,259855360,USD,2.99,43,43,3.5,3.5,1.0,4+,Games,37,5,1,1
9525,1133241575,The Secret Order: The Buried Kingdom HD (Full),1258856448,USD,6.99,63,63,4.5,4.5,1.0.0,9+,Games,24,5,3,1
9542,1133737578,Gemini - A Journey of Two Stars,581873664,USD,0.99,91,2,4.5,5.0,1.1.2,4+,Games,38,5,1,1
9543,1133744473,Loop & Dot,33594368,USD,0.99,39,2,4.5,5.0,1.6,4+,Games,37,5,1,1
9550,1133883216,Carbon Warfare,324570112,USD,2.99,68,10,4.5,5.0,1.5.0,4+,Games,37,5,6,1
9576,1134640800,Echoes of the Past: Wolf Healer HD (Full),909051904,USD,6.99,43,43,4.0,4.0,1.0.0,9+,Games,24,5,4,1
9582,1134805859,Isoland,411290624,USD,0.99,99,1,4.5,5.0,2.0.5,4+,Games,37,4,7,1
9584,1134835650,Mystery of Fortune 2,114503680,USD,0.99,19,0,5.0,0.0,1.024,12+,Games,37,5,1,1
9587,1134867821,NOT ALONE - Story of a bird,121761792,USD,2.99,1,1,3.0,3.0,1.1,4+,Games,37,4,1,1
9597,1135127134,Batman - The Telltale Series,1061347328,USD,4.99,953,121,3.5,3.5,1.6,17+,Games,25,5,1,1
9623,1135536260,Journey Below,61067264,USD,2.99,28,6,4.0,3.5,1.2,12+,Games,37,5,1,1
9624,1135564253,Off the Record: The Final Interview (Full),782278656,USD,6.99,35,6,3.5,5.0,1.0.2,9+,Games,37,5,5,1
9642,1135867247,The Orchard by HABA - colors & shapes for children,164418560,USD,1.99,2,2,2.0,2.0,1.2,4+,Games,37,5,13,1
9644,1135973816,Amaranthine Voyage: The Orb of Purity (Full),817638400,USD,6.99,48,10,3.5,3.5,1.0.2,9+,Games,37,5,5,1
9675,1136678843,Dungeon Warfare,202242048,USD,3.99,264,116,5.0,5.0,1.01,12+,Games,37,5,1,1
9678,1136744871,Party Hard Go,636487680,USD,6.99,59,50,4.5,4.5,1.1,12+,Games,37,5,1,1
9682,1136936929,Ultimate Savanna Simulator,138456064,USD,0.99,344,338,4.5,4.5,1.1,9+,Games,40,5,1,1
9683,1136975039,南国物語,418452480,USD,5.99,0,0,0.0,0.0,1.0.2,12+,Games,38,0,1,0
9685,1136993233,Apollo Justice Ace Attorney,2424459264,USD,0.99,95,57,3.5,3.5,1.00.01,4+,Games,38,5,1,1
9695,1137155107,Tank Battle: 1945,253285376,USD,1.99,36,10,3.5,4.5,1.5,12+,Games,37,5,1,1
9722,1137591249,Cannon Flight,547368960,USD,0.99,0,0,0.0,0.0,1.1.0,4+,Games,37,2,1,1
9755,1138484918,Mr. Robot:1.51exfiltrati0n.ipa,66592768,USD,2.99,459,82,3.5,3.0,1.0.6,17+,Games,40,5,1,1
9792,1139254110,Lifeline: Halfway to Infinity,53539840,USD,2.99,194,194,4.5,4.5,1.0,4+,Games,37,5,8,1
9794,1139377101,Drakomon GO - 3D Monster Battle Game,310630400,USD,1.99,50,9,4.5,3.5,1.2.1,9+,Games,37,3,1,1
9815,1140033685,Gymnastics Girl Jump American Athlete sports PRO,38723584,USD,2.99,5,3,3.0,3.5,1.4,4+,Games,40,4,1,1
9833,1140419709,The Manga Works,185210880,USD,4.99,19,15,4.5,4.5,1.0.1,4+,Games,38,5,1,1
9836,1140484774,Infinity Duels,68217856,USD,0.99,0,0,0.0,0.0,2.7,12+,Games,40,5,3,1
9839,1140513212,Colt Express,762607616,USD,2.99,36,5,4.0,4.0,1.3,9+,Games,37,5,5,1
9852,1141037183,Dark Parables: Goldilocks and Fallen Star (Full),1178562560,USD,6.99,127,127,4.5,4.5,1.0.0,9+,Games,37,5,5,1
9858,1141253112,戦国乙女2～深淵に輝く気高き将星～,3968637952,USD,7.99,0,0,0.0,0.0,1.0.3,12+,Games,38,0,1,0
9892,1141996024,Flappy Marine,3132416,USD,0.99,2,2,5.0,5.0,1.2,12+,Games,37,0,1,1
9893,1142016085,Rusty Lake: Roots,100598784,USD,2.99,156,116,4.5,4.5,1.1.5,12+,Games,40,5,14,1
