,order_id,customer_id,customer_city,customer_state,product_category_name_english,product_id
110572,03c83b31dbc387f83f1b5579b53182fb,6d70d16ff8b3a0131e209b2bba542930,mariana,MG,computers,a04087ab6a96ffa041f8a2701a72b616
110573,048e6e4623dbf118c43e0f5572016faa,7c43cc8f6953deea674d34207a646886,cuite,PB,computers,a04087ab6a96ffa041f8a2701a72b616
110574,106ff3ba3e84e22713bf2a10c582fd94,02d1b5b8831241174c6ef13efd35abbd,vitoria da conquista,BA,computers,a04087ab6a96ffa041f8a2701a72b616
110575,13b4f8c4b570d25d95bfd3c915ed9c38,3affba856e05494582eba561ff675db0,belem,PA,computers,a04087ab6a96ffa041f8a2701a72b616
110576,256ccc96b2c931006d95ba7a05181037,2a381888bc87c4fde2eda8bedb291234,feira de santana,BA,computers,a04087ab6a96ffa041f8a2701a72b616
110577,2ca1528ba222dcef1b182632376e53a0,44d89c65f6578eb86f1db3cefdbdf9e6,quatro bocas,PA,computers,a04087ab6a96ffa041f8a2701a72b616
110578,2ce81d16edb6568f5ff5b9ec2e5cb4b7,a2a5fc7e8fc7e880cd68a9768b8caa22,salvador,BA,computers,a04087ab6a96ffa041f8a2701a72b616
110579,4733b3de4bf04376a9d53930899ef18c,e8d32260f2ebace5f1b80c9b213601ff,mage,RJ,computers,a04087ab6a96ffa041f8a2701a72b616
110580,4bfda23ff0ed8665aa9113bfb4130bf3,a42fce0a9fe2e8ba2f7b2b0dbaa4b626,salvador,BA,computers,a04087ab6a96ffa041f8a2701a72b616
110581,564e414f20390e6417f5e6c6ad3f095e,3c8863310a791b2426da5c04de18e70c,novo hamburgo,RS,computers,a04087ab6a96ffa041f8a2701a72b616
110582,5ca18035ac56a17dd903b0e8410aae06,4e5ca9b956b369f83366360cf7dbd9b6,osorio,RS,computers,a04087ab6a96ffa041f8a2701a72b616
110583,5e34ad6a26152d8d8743a70e214b1a98,a0e9c9c5a19366c5eec698ac38498a1e,camacari,BA,computers,a04087ab6a96ffa041f8a2701a72b616
110584,5f5a937b8e63ac95df2db115354de971,ed71d2c3a3ac53a772b0e8e9db89cc20,porto alegre,RS,computers,a04087ab6a96ffa041f8a2701a72b616
110585,5f66067164a5ca7adf49a87bfe4cccc1,319481c968caf99d5daa782270571d51,catende,PE,computers,a04087ab6a96ffa041f8a2701a72b616
110586,82ee69216f11b23e2d21d2796e079366,7f8aa5f321fc28ae90ee6a38cd6e3150,barreiras,BA,computers,a04087ab6a96ffa041f8a2701a72b616
110587,8a4f504a9826004fb1b0957a12aad33a,8d4fbbdcabdfc2f9b1f52cd523ea5865,itabirito,MG,computers,a04087ab6a96ffa041f8a2701a72b616
110588,8a4f504a9826004fb1b0957a12aad33a,8d4fbbdcabdfc2f9b1f52cd523ea5865,itabirito,MG,computers,a04087ab6a96ffa041f8a2701a72b616
110589,a7e3fbb3111b4a3c0907fbfad7690ffd,a91aaf744244d91f36c917061c2568b0,sao paulo,SP,computers,a04087ab6a96ffa041f8a2701a72b616
110590,bb9e3fdfc33f7fe56fd38f6adacf760f,36d29f1c80a81a79fbf6185b00b5ce3c,vila velha,ES,computers,a04087ab6a96ffa041f8a2701a72b616
110591,d237eb0a6caf6cc0d9cf5ba7a815c077,115847c3660c596c1bc526c4fd0c5b7c,rio de janeiro,RJ,computers,a04087ab6a96ffa041f8a2701a72b616
110592,d858299446e4d2e4a686d1dcf9a93359,6ec162d7f7fafad0e98a7a8527f9a0fc,belo horizonte,MG,computers,a04087ab6a96ffa041f8a2701a72b616
110593,dda0b2b9a46f5c43da98422227eaaccf,fc5795f8f743ecd3ccc0f4d89a50438a,macae,RJ,computers,a04087ab6a96ffa041f8a2701a72b616
110594,ed35f59756edecbfcefb866146f00905,3a1e5902bb274b86dd980f371e207651,barra mansa,RJ,computers,a04087ab6a96ffa041f8a2701a72b616
110595,ed35f59756edecbfcefb866146f00905,3a1e5902bb274b86dd980f371e207651,barra mansa,RJ,computers,a04087ab6a96ffa041f8a2701a72b616
110596,efa7f60c6fa051986a5d8f220106b74f,a271788c6bad8633d39fac1fb388f677,sao paulo,SP,computers,a04087ab6a96ffa041f8a2701a72b616
