,size_mb,price,rating_count_tot,user_rating,prime_genre,sup_devices.num,lang.num,free_vs_paid,min_profit
547,140.19,0.0,15593,4.5,Shopping,37,1,free,0.0
548,145.6,2.99,206,4.0,Reference,37,3,paid,615.94
549,224.27,0.0,786,3.5,Entertainment,38,2,free,0.0
550,24.82,1.99,1207,4.5,Education,37,1,paid,2401.93
551,262.72,2.99,6879,4.5,Games,38,1,paid,20568.210000000003
552,138.42,0.0,5683,4.0,Entertainment,24,1,free,0.0
553,3.03,0.99,0,0.0,Social Networking,43,2,paid,0.0
554,1210.36,4.99,5059,4.0,Games,37,8,paid,25244.41
555,180.74,4.99,10158,4.5,Health & Fitness,37,31,paid,50688.420000000006
556,125.62,0.0,291,4.0,Travel,37,1,free,0.0
557,7.7,1.99,31,3.0,Weather,43,1,paid,61.69
558,123.18,0.0,35981,4.0,Shopping,37,1,free,0.0
559,51.31,0.99,14493,4.5,Games,40,1,paid,14348.07
560,37.95,2.99,853,4.0,Entertainment,40,11,paid,2550.4700000000003
561,65.49,0.0,990,3.0,Entertainment,24,1,free,0.0
562,84.5,0.0,676,3.0,Entertainment,37,1,free,0.0
563,87.35,0.0,128739,4.5,Games,38,3,free,0.0
564,67.88,2.99,1556,4.5,Utilities,38,11,paid,4652.4400000000005
565,182.59,4.99,12331,4.5,Games,38,5,paid,61531.69
566,33.87,3.99,22,4.5,Education,37,2,paid,87.78
567,27.95,0.99,6527,4.0,Games,37,1,paid,6461.73
568,40.51,0.99,13049,4.5,Games,43,1,paid,12918.51
569,88.69,0.0,3692,3.5,News,37,1,free,0.0
570,84.76,2.99,41446,4.5,Games,43,1,paid,123923.54000000001
571,22.22,0.0,8221,4.5,Shopping,37,1,free,0.0
572,47.77,0.99,36190,4.5,Games,43,1,paid,35828.1
573,79.36,0.99,14491,4.5,Games,40,1,paid,14346.09
574,81.01,0.0,99244,4.5,Utilities,38,11,free,0.0
575,3.66,0.0,0,0.0,Social Networking,43,1,free,0.0
576,677.57,0.0,75714,4.0,Games,24,1,free,0.0
577,21.53,0.99,35161,4.5,Games,43,1,paid,34809.39
578,46.34,0.0,11875,4.5,Health & Fitness,37,1,free,0.0
579,153.32,0.0,122,2.5,Finance,37,1,free,0.0
580,81.55,0.0,1083,2.0,Lifestyle,37,4,free,0.0
581,1258.66,2.99,1575,3.5,Games,38,1,paid,4709.25
582,157.73,1.99,24,3.5,Games,37,8,paid,47.76
583,53.99,0.0,53,4.0,Weather,37,2,free,0.0
584,186.35,2.99,739,3.5,Games,40,1,paid,2209.61
585,129.88,0.0,100477,4.0,Lifestyle,37,1,free,0.0
586,109.56,0.0,718,4.0,News,37,1,free,0.0
587,148.39,0.0,16849,4.5,Reference,38,12,free,0.0
588,240.05,0.0,192,1.5,Finance,38,1,free,0.0
589,49.27,4.99,7,5.0,Education,38,5,paid,34.93
590,33.37,3.99,1114,4.5,Games,45,1,paid,4444.860000000001
591,32.81,6.99,1218,4.0,Music,38,12,paid,8513.82
592,56.9,0.99,9948,4.5,Games,40,1,paid,9848.52
593,7.15,0.99,528,4.0,Utilities,37,1,paid,522.72
594,113.61,4.99,4675,4.5,Games,37,1,paid,23328.25
595,232.48,0.0,22302,4.0,Travel,37,29,free,0.0
596,32.8,5.99,3849,4.0,Productivity,24,2,paid,23055.510000000002
597,80.04,0.0,233,4.0,News,37,1,free,0.0
598,9.33,0.0,1798,4.5,Travel,37,1,free,0.0
599,41.33,7.99,916,4.5,Business,37,10,paid,7318.84
600,91.5,0.99,2956,4.5,Utilities,37,32,paid,2926.44
601,391.2,4.99,21648,4.0,Games,37,8,paid,108023.52
602,28.97,2.99,5163,4.5,Reference,38,11,paid,15437.37
603,16.38,0.99,49,4.5,Entertainment,38,2,paid,48.51
604,67.01,0.0,6081,4.5,Weather,37,1,free,0.0
605,11.36,0.99,4401,5.0,Games,47,1,paid,4356.99
606,150.08,2.99,2231,4.5,Social Networking,37,30,paid,6670.6900000000005
607,156.21,0.0,327025,4.5,Games,38,13,free,0.0
608,453.66,4.99,10463,4.0,Games,43,1,paid,52210.37
609,9.02,1.99,28672,4.5,Games,37,1,paid,57057.28
610,64.78,3.99,4716,4.5,Health & Fitness,38,1,paid,18816.84
611,112.95,1.99,6278,3.5,Games,43,1,paid,12493.22
612,41.59,0.0,0,0.0,Shopping,37,2,free,0.0
613,22.36,2.99,8304,4.5,Games,47,1,paid,24828.960000000003
614,97.15,0.0,15984,3.0,Entertainment,37,1,free,0.0
615,89.1,1.99,5079,4.5,Education,37,1,paid,10107.21
616,126.02,0.0,2416,4.5,Music,37,12,free,0.0
617,36.75,0.0,36,4.0,Social Networking,37,4,free,0.0
618,934.51,4.99,8165,3.5,Games,24,8,paid,40743.35
619,86.52,0.0,7446,4.0,Entertainment,24,1,free,0.0
620,116.76,0.99,26419,4.0,Games,43,1,paid,26154.81
621,12.19,0.99,208,4.0,Entertainment,38,1,paid,205.92
622,60.53,3.99,7565,3.5,Utilities,37,28,paid,30184.350000000002
623,21.2,1.99,3040,4.5,Photo & Video,37,4,paid,6049.6
624,138.51,0.0,145549,4.5,Travel,37,1,free,0.0
625,9.94,4.99,835,4.5,Food & Drink,37,16,paid,4166.650000000001
626,4.08,1.99,4262,4.5,Finance,43,6,paid,8481.38
627,20.38,1.99,219,4.0,Utilities,37,1,paid,435.81
628,260.6,0.0,56110,4.5,Finance,37,2,free,0.0
629,75.66,0.0,32341,4.5,Travel,37,6,free,0.0
630,625.6,4.99,1419,4.0,Games,43,1,paid,7080.81
631,179.32,2.99,3303,4.5,Education,40,1,paid,9875.970000000001
632,117.84,0.0,2058,4.0,Entertainment,24,3,free,0.0
633,183.24,7.99,990,4.0,Games,37,6,paid,7910.1
634,37.99,2.99,1986,4.0,Entertainment,24,11,paid,5938.14
635,8.37,1.99,8981,4.5,Games,43,1,paid,17872.19
636,174.91,4.99,554,4.5,Games,38,6,paid,2764.46
637,88.66,0.0,8176,5.0,News,37,1,free,0.0
638,99.57,4.99,53,2.0,Food & Drink,37,1,paid,264.47
639,9.98,0.99,6,1.0,Photo & Video,39,2,paid,5.9399999999999995
640,22.69,0.0,8,3.0,Finance,37,1,free,0.0
641,57.36,0.0,467,4.0,Health & Fitness,37,1,free,0.0
642,147.44,0.0,2394,4.0,Entertainment,24,2,free,0.0
643,32.34,0.99,287,4.5,Health & Fitness,37,3,paid,284.13
644,117.37,0.0,28189,4.5,Photo & Video,37,22,free,0.0
645,13.21,2.99,868,4.5,Navigation,37,21,paid,2595.32
646,57.23,0.99,4094,4.5,Games,24,1,paid,4053.06
647,78.58,2.99,3152,4.5,Entertainment,37,34,paid,9424.480000000001
648,55.13,2.99,2950,4.5,Health & Fitness,37,12,paid,8820.5
649,13.57,3.99,3245,4.0,Weather,37,1,paid,12947.550000000001
650,16.16,0.99,9341,4.5,Games,43,1,paid,9247.59
651,20.1,0.0,981,2.5,Education,24,8,free,0.0
652,25.97,0.99,735,4.0,Games,43,1,paid,727.65
653,118.4,2.99,15116,4.5,Health & Fitness,37,31,paid,45196.840000000004
654,222.71,0.0,39638,4.5,Productivity,37,33,free,0.0
655,19.23,0.0,7256,3.0,Entertainment,37,19,free,0.0
656,9.59,1.99,12590,4.5,Utilities,38,14,paid,25054.1
657,189.5,2.99,13258,4.5,Games,37,4,paid,39641.420000000006
658,775.81,6.99,0,0.0,Reference,37,1,paid,0.0
659,13.14,2.99,331,4.5,Reference,37,3,paid,989.69
660,114.81,0.0,1777,3.0,Education,37,4,free,0.0
661,28.01,0.99,554,4.5,Photo & Video,37,31,paid,548.46
662,72.36,0.0,7535,4.0,Sports,37,3,free,0.0
663,223.1,0.0,2622,3.5,Sports,37,1,free,0.0
